OPENADMET_INCHIKEY,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM,OPENADMET_CANONICAL_SMILES
AAAOMBVYTJLJQO-SFTDATJTSA-N,,,,,1.4983105537896004,31.5,CCN1C(=O)[C@@H](NC(=O)C2=CSC(C(F)(F)F)=N2)[C@@H](C2=CC=C(F)C=C2)C2=C1N(C1=CC=CC=C1)N=C2C
AAAPJPRRMCROHP-UHFFFAOYSA-N,1.2442771208018428,17.55,,,,,COC(=O)N1CCC(N2C(=O)N(CC3=NC(C)=C(C)N3CCCCO)C3=CN=CC=C32)CC1
AAAPQZDYNWUVQA-UHFFFAOYSA-N,2.3138672203691533,206.0,,,,,CCOCC(=O)NC1CCCOC2=C(C3=CC=C(Cl)C=C3)N(C3=CC=CC=C3Cl)N=C21
AAAQFGUYHFJNHI-GOSISDBHSA-N,1.1281277498081164,13.4316,,,,,CCNC(=O)C[C@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12
AAAQFGUYHFJNHI-SFHVURJKSA-N,0.9332898363872897,8.576100000000002,0.41664050733828095,2.61,0.3170076359947513,2.0749500000000003,CCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12
AABRILTZMFCPOO-KZNAEPCWSA-N,,,,,2.0718820073061255,118.0,ON=C(O)[C@@H]1[C@H](C2=CC=CC=C2)[C@H]1C1=CC=C2OC(C3CC3)=NC2=C1
AADIDHFXTKJENY-UHFFFAOYSA-N,,,1.6031443726201824,40.1,,,CN1N=CC2=CC(NC3=C4N=CC=CC4=NN3)=CC=C21
AADNCCSXBAVIDD-UHFFFAOYSA-N,-0.8178707859470016,0.1521,,,,,CCOC(=O)C1=C(C#CCCCC(=O)O)N=C(C2=CC=CC(F)=C2)S1
AADZRZOWFKIFTL-UHFFFAOYSA-N,,,,,2.6458102098773817,442.395,CC(O)(C1=CC=C(S(=O)(=O)C2SC(N3CCCCC3)=NC2C(F)(F)F)C=C1)C(F)(F)F
AAFSIPPWGBQMKB-UHFFFAOYSA-N,1.0725072355288041,11.817,,,,,C1=CN=C(NC2=NC=NC3=CC=C(C4=NC=CC(N5CCOCC5)=N4)C=C23)N=C1
AAGGRTPMBWISNV-UHFFFAOYSA-N,0.28302970979385955,1.9188,,,1.0882761039404107,12.25395,CN1CCN(C2=NC3=NC=C(Br)C=C3N3C=NN=C23)CC1
AAHFBZODUHKGBC-CCDWMCETSA-N,1.919444210465237,83.07,2.4933186082321015,311.4,,,CC(=O)N[C@@H](CC1=CC=C(F)C=C1F)[C@H](O)CN[C@H]1CC2(CCC2)OC2=NC=C(CC(C)(C)C)C=C21
AAJDKMBUXCOQNC-RUZDIDTESA-N,1.4106085425683679,25.74,,,,,CC1=CC=C(CC(=O)N2CCC3(CC2)CN([C@@H]2CCC4=CC(C5=NC=CC=N5)=CC=C42)C3)N=C1
AAKFEGALHSLAOA-UHFFFAOYSA-N,,,1.189770956346874,15.48,,,CS(=O)(=O)NC1=CC=C(CNC(=O)C2=CC=C(N3CCC3)C=C2)C(Cl)=C1
AAKJLRGGTJKAMG-UHFFFAOYSA-N,1.5624796304114943,36.515699999999995,,,,,C#CC1=CC=CC(NC2=NC=NC3=CC(OCCOC)=C(OCCOC)C=C23)=C1
AALFPAPRIRREHK-QNHMQQQNSA-N,0.6693168805661122,4.67,,,,,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C(F)F)C4=CC=CC=C4)C[C@@](O)([C@@H](OC(=O)C4=CC=CC(F)=C4)[C@H]21)C3(C)C
AALHNBNOUAEYHF-UHFFFAOYSA-N,1.0681858617461617,11.7,1.5976951859255124,39.6,,,CNC(=O)CN1C=C(C2CC2)C(OC2=CC=C(C#N)C=C2)=C1C1CC1
AAMZULUEZPUVKC-UHFFFAOYSA-N,,,,,1.9294189257142926,85.0,CC1=CC(CNC(=O)C2=CC(Cl)=NC(Cl)=C2)=NC=C1C1=CN(C)N=C1C
AAOTVWDBODRGRV-UHFFFAOYSA-N,1.2723058444020865,18.72,1.2966651902615312,19.8,,,CN(C)CCN(C)C1=CC=C(CN2C(=O)NC3=C(N)N=C(C(F)(F)F)C=C32)C=N1
AAOVKJBEBIDNHE-UHFFFAOYSA-N,0.8278537064357921,6.7275,2.1652245355407915,146.29333333333332,,,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C21
AAQJAJYYYBNGNE-UHFFFAOYSA-N,2.244277120801843,175.5,,,,,CC1=CC=C(C2=NN=C(SCC(=O)N3CCN(C4=CC=CC=C4)CC3)O2)C=C1
AARRAQHMWVXNTL-LBPRGKRZSA-N,,,,,2.243781916093795,175.3,CC1=NC=C(C)N2N=C(CC(=O)N3C4=NC5=CC=CC=C5N4C[C@@H]3C)N=C12
AASJEUHBEWXQIG-UHFFFAOYSA-N,1.724275869600789,53.0,,,,,CC1=CC=C(N2N=C(C(C)(C)C)C=C2NC(=O)NC2=CC=CC3=C2NC(C(=O)N(C)CCC2=CC=CC=N2)=C3)C=C1
AATPYXMXFBBKFO-UHFFFAOYSA-N,0.9712758487381052,9.36,,,,,COC1=CC(C(C)C)=C(OC2=CN=C(N)N=C2N)C=C1I
AAVGIXFUDKBSEI-UHFFFAOYSA-N,1.0413926851582251,11.0,,,,,NC(=O)C1=CC=CC(C2=CC=C(NCC3(C4=NC=CC=C4F)CCC3)N=N2)=C1
AAWDDTXQRGJVFI-GOSISDBHSA-N,1.1095785469043866,12.87,,,,,COC(=O)NCCCN1C=C(CN(C(=O)[C@H]2CNCCO2)C2CC2)C2=CC=CN=C21
AAXNCGQOXAXDOW-UHFFFAOYSA-N,2.244277120801843,175.5,,,,,CC1=CC=C(CO)C=C1N(C1=CC=NC(NC2=CC(N3CCOCC3)=CC(S(C)(=O)=O)=C2)=N1)C(C)C
ABACVOXFUHDKNZ-UHFFFAOYSA-N,0.5453071164658241,3.51,1.255272505103306,18.0,2.0077051143647804,101.79,CCC(=O)C1=C(C)N(C2=CC=C(S(N)(=O)=O)C=C2)C(C2=CC=C(Cl)C=C2)=C1
ABAMKJIAQACLMF-MBOCNQOASA-N,-0.7818585318423221,0.16525,0.734799829588847,5.430000000000001,1.461543544610252,28.943,CC[C@](C)(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
ABAQMTMQQSSUGL-UHFFFAOYSA-N,0.3904051564800809,2.457,,,,,O=C(NC1=CC=NN=C1)C1=CC(N2CCOCC2)=CC=C1OCC1=CC=CC=C1
ABBSHDFWMRFGOC-AREMUKBSSA-N,,,1.0718820073061255,11.8,,,O=C(O)COC1=CC=CC2=C1CC[C@](O)(COC(=O)N(C1=CC=C(F)C=C1)C1=CC=CC=C1F)C2
ABCRBEXBTOTNJG-UHFFFAOYSA-N,1.670245853074124,46.8,,,,,COC(=O)C1=CC(N)=C(NC2=CC=C(C#N)C=C2)C=C1OC1=C(C)C=C(CCC#N)C=C1C
ABDCVAAWZNLXJK-JWQCQUIFSA-N,,,1.747567162737625,55.92,,,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C2=C(C3=CC=C(N4CCS(=O)(=O)CC4)C=C3)SC(C3=CC=C(F)C=C3)=N2)CC1
ABHSNXHLVROVOT-DNVJHFABSA-N,1.1473671077937864,14.04,1.3692158574101427,23.4,,,CN(C)[C@H]1CC[C@H](NC(=O)[C@@H](CC2=CC=C(Cl)C=C2)NC(=O)CC2=CC=C(Cl)C=C2)CC1
ABIVXWKXMJCZMZ-LQXXZEARSA-N,1.8743658357300488,74.88,,,,,C[C@@](C(=O)O[C@H]1C[N+]2(CCCCC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)N1CCCCC1
ABJOHSLYSRTJAR-UHFFFAOYSA-N,2.009450895798694,102.2,2.0595634179012676,114.7,,,CCC(=O)NCCCC1=CC(OC)=CC=C1C#CC1=CC=CC(OC)=C1
ABLSECMUBQGKAB-JBACZVJFSA-N,1.0126685338963304,10.296000000000001,,,,,O=C(N[C@H]1CN(S(=O)(=O)C2=CC=CC=C2)C[C@@H]1C(=O)N[C@H]1CCCNC1)C1=NN=C(C2=CC=C(F)C=C2)S1
ABNSJBVKFVKZEX-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,CC1=CC=C(NC(=O)C2=CC=CC=C2F)C=C1N1C=NC2=CC=C(N3CCN(C)CC3)C=C2C1=O
ABOHHLQLMOFIDR-UHFFFAOYSA-N,1.0281807000745777,10.670399999999999,,,,,COC(=O)C1=C(C)N=C2CC(C)(C)CC(=O)C2C1C1=CC=C(C2=CC=C(C(F)(F)F)C=C2)C=C1
ABOWEPDTQXMFNL-UHFFFAOYSA-N,1.1473671077937864,14.04,1.954242509439325,90.0,,,CCC1=CC=CC(C)=C1CNC1=CC=CN2C(C)=C(C)N=C12
ABQLRKIYVVKDRJ-UHFFFAOYSA-N,2.330413773349191,214.0,,,,,CCCC(=O)C1=C2CN(C(=O)NC3=CC=CC(Cl)=C3)CCC2=NN1
ABQRTQHBTVLJNQ-PMUMKWKESA-N,,,2.1795517911651876,151.2,,,CC1=CC([C@H](C)NC2=NC=CC(N3C(=O)OC[C@@H]3[C@@H](C)O)=N2)=NC=C1C1=CC=NC(C(F)(F)F)=C1
ABTWQORMGHKZJQ-UHFFFAOYSA-N,-0.2218487496163564,0.6,,,-0.2218487496163564,0.6,CS(=O)(=O)/N=C(/NCC1=NN(C2=CC=C(Cl)C=C2)C(C2=CC=C(Cl)C=C2)=C1)NCC1=CC=CS1
ABUIKYFOWXUFJZ-UHFFFAOYSA-N,,,2.8562454007900544,718.2,,,O=C(N1CCOCC1)N1CCC2=C(C=CS2)C1C1=CC=C(C(F)(F)F)C=C1
ABVFVDOETADVTL-UHFFFAOYSA-N,,,,,3.361727836017593,2300.0,O=C(CC1=NN(C2CC2)C(=O)C2=CC=CC=C12)NC1=CC=C(OC(F)(F)F)C(Cl)=C1
ABVGSFPPWPDZDN-UHFFFAOYSA-N,1.4831592097169797,30.42,1.1583624920952498,14.4,,,CN1CCN(C2=CC=C(C3=CC=C4OCCN(C5=NC6=C(S5)C(=O)NC(C)(C)C6)C4=C3)N=N2)CC1
ABYINJFKAFRKKD-UHFFFAOYSA-N,1.5866998016240492,38.61,2.100370545117563,126.0,,,NC1=CN=CC(NC2=CC=C(OC3=CC=C(C4CC4)C=C3)C=C2)=N1
ABYYVTBVBSXCQA-SMDDNHRTSA-N,1.3514870904497112,22.464,,,2.8340291535039555,682.3845000000001,CC1=CC=C(C(=O)N2N=C3CCCC[C@@H]3[C@@]2(O)C(F)(F)F)C=N1
ACAIBIBNIFXKCV-UHFFFAOYSA-N,1.515343893088381,32.76,,,,,CNC(=O)C1=NN(C)C2=CC=C(NC3=NC=CC(N4C=C(NCC5(N)CC5)C(C)=N4)=N3)C=C12
ACBPZQONZQVIAJ-RWXRFDSASA-N,-0.028724151261894745,0.936,0.7176705030022621,5.22,,,COC1=CC=C2N=CC=C(NC(=O)[C@]3(O)CC[C@@H](NCC4=CC5=C(C=N4)OCCO5)CC3)C2=N1
ACCULLWIBRVLMN-UHFFFAOYSA-N,2.0705919315120402,117.64999999999999,3.092018470752797,1236.0,3.5921767573958667,3910.0,O=C1NC(CCCN2CC=C(C3=CC=C(F)C=C3)CC2)=NC2=C(Cl)C=CC=C12
ACDFWSNAQWFRRF-VWLOTQADSA-N,3.4303053302821365,2693.42775,,,,,CC1=C(CC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N(C)C2=CC=CC=C2)C2=CC=CC=C2N1
ACDVIHRBYWUYPZ-HNNXBMFYSA-N,1.9924651478080433,98.28,2.204662511748219,160.2,2.4252406791001984,266.22,COCCOC1=CN=C2C=CC([C@H](C)N3N=NC4=C3C(=O)N(C3=CC(C)=NS3)C=C4)=CC2=C1
ACFBKRAWAGNCMP-UHFFFAOYSA-N,1.5305838596451178,33.93,1.534026106056135,34.2,,,CN1C2=C(C=C(NC3=CC=C(C(=O)N4CCOCC4)C=N3)C1=O)C1=CC=CC(N3N=CC4=CC(C(C)(C)C)=CC(F)=C4C3=O)=C1CC(O)C2
ACFDGEIOKJPZDC-UHFFFAOYSA-N,1.4814856258274134,30.303,2.114410802397837,130.14,,,CN1C=CC(NC(=O)C2=CN(CC3=CC=C(Cl)C(C(F)(F)F)=C3)N=C2)=N1
ACFOZQUWTKSSQQ-UHFFFAOYSA-N,0.8450980400142568,7.0,,,1.6334684555795864,43.0,CC1=NC2=CC(OC(F)(F)F)=CC=C2N1C1=CC=C(C(=O)NC2CC2)S1
ACFVCICQJNUBAB-UHFFFAOYSA-N,0.3692158574101428,2.34,1.4014005407815442,25.2,,,CC1=CN=CC=C1NC(=O)NC1=NC(O)=CN1C
ACGBRZCIFNWBLV-NNMXADRKSA-N,2.1580909731855598,143.91,,,,,C[C@@](C(=O)O[C@H]1C[N+]2(CCC3=CC=CC(F)=C3)CCC1CC2)(C1=CC=CC=C1)N1CCCCC1
ACHAGBFZZOHGJZ-UHFFFAOYSA-N,4.244277120801843,17550.0,,,,,O=C(CC1CCN(CC2=CN(C3=CC=C(C(F)(F)F)C=C3)C=C2)CC1)NC(C1=CC=C(F)C=C1)C1=CNC(=O)C(Cl)=C1
ACHAWAOSLYJAMP-LJQANCHMSA-N,3.230448921378274,1700.0,,,,,COC1=CC=CC(C2=C(C)N(CC3=C(F)C=CC=C3F)C(=O)N(C[C@@H](C)N(C)CC3=CC=CC=N3)C2=O)=C1
ACHIOEUQSPVGQC-UHFFFAOYSA-N,1.6122539060964374,40.95,,,,,CN(C)C1=NN2C(CC3=CC=C4N=CC=CC4=C3)=NN=C2C=C1
ACHXKUWQFTWBSX-UHFFFAOYSA-N,,,1.5774917998372253,37.8,,,FC1=CC=C(SC2=NC(Cl)=NC(NC3=CC=C(OC(F)(F)F)C=C3)=N2)C=C1
ACJJRKPVZVNVRC-UHFFFAOYSA-N,2.3125845810914307,205.39249999999998,,,3.301170847093442,2000.64875,CN(CC(O)C1=CC2=NC=CC=C2N1S(=O)(=O)C1=CC=CC=C1)C(=O)C1=CC=CC=C1
ACLPOFUIYHXBHE-UHFFFAOYSA-N,,,,,1.8714853673467913,74.385,O=C(NCC1=CC=C(Cl)C=C1)C1=CC=C2C=CC=NC2=C1O
ACLZPKMBZBHXJZ-UHFFFAOYSA-N,2.1437328231386923,139.23,,,,,C1=CC=C(NC2=C(C3=CC=CC=C3)N=NN2)C=C1
ACMHTBZGSZSJCZ-UHFFFAOYSA-N,1.3422252293607904,21.99,1.5265977091034522,33.62,2.513790065019759,326.43,CC1CCN(CC2=CC=C3N=C(NC(=O)NN=C(C4=CC=CC=N4)C4=CC=CC=N4)SC3=C2)CC1
ACONXJAUFMGPLM-UHFFFAOYSA-N,2.1675211394321194,147.069,,,3.4089730663857454,2564.325,CSC1=NN=CC(C2=CN=NC(SC)=N2)=N1
ACOQFTBWJBOJLF-UHFFFAOYSA-N,1.3424226808222062,22.0,,,1.9299295600845878,85.1,O=C1CCCN1C1=CC=C2C(=O)C3=CC=CC(F)=C3OC2=C1
ACQYMGJSHAQOOW-UHFFFAOYSA-N,-1.6777807052660807,0.021,,,-1.494850021680094,0.032,CN1C=C(C2=CC=C(C3=CN=CC(Cl)=C3N3CCC4(CC3)CC(=O)NC4=O)C=C2)C=N1
ACRHHDXGVDIGOK-GASCZTMLSA-N,2.500606922065987,316.67,,,2.9700352255680658,933.33,CC1=CC(C(F)(F)F)=C2C=CC=C(OCC3=C(Cl)C=CC(S(=O)(=O)N4C[C@@H](C)O[C@@H](C)C4)=C3Cl)C2=N1
ACSDAFRDIDMNMT-UHFFFAOYSA-N,,,,,1.1112457062718497,12.9195,O=C(NC1=CC=C(F)C(C2=NC3=NC=C(C4=CC=CC=C4)N3N=C2)=C1)N1CCCC1
ACTLFDRXTDCETR-WKILWMFISA-N,1.0791812460476249,12.0,,,,,CC(C)(N)C[C@H]1CC[C@H](C2=CC=C(N3CCOC4=NC=NC(N)=C4C3=O)C=C2)CC1
ACWBQPMHZXGDFX-QFIPXVFZSA-N,0.5453071164658241,3.51,,,,,CCCCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)[C@H](C(=O)O)C(C)C
ACXIBLMKYPMHFC-UHFFFAOYSA-N,0.9712758487381052,9.36,,,,,CN1N=CC=C1C1=CN(CCCCO)C(CN2C(=O)N(C3CC3)C3=CC=NC=C32)=N1
ACXODBAODQZCHM-UHFFFAOYSA-N,,,,,2.282927846422476,191.835,CC1=C(CC2=CC=CC=C2N)C(=O)OC2=CC(OC(=O)N(C)C)=C(Cl)C=C12
ACYWZPXRNUHROM-UHFFFAOYSA-N,1.6872791923729045,48.672,1.6254153521544081,42.21,,,NC(=O)C1=CN(C2=CC=CC(OC(=O)NCCCCCCC3=CC=CC=C3)=C2)C=C1
ADAQBVKANMBBGO-UHFFFAOYSA-N,1.7309436934277358,53.82,1.5774917998372253,37.8,2.2459442801693057,176.175,CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(C(=O)CN(C)C)CC1
ADCDUDFEGFKKQH-NRFANRHFSA-N,,,2.4342494523964757,271.8,,,O=C(NC1=CC=C(F)C=C1)N1CCC2=CC=CC=C2[C@@H]1C1=CC=C(C(F)(F)F)C=C1
ADCDUDFEGFKKQH-OAQYLSRUSA-N,,,1.8785217955012066,75.6,,,O=C(NC1=CC=C(F)C=C1)N1CCC2=CC=CC=C2[C@H]1C1=CC=C(C(F)(F)F)C=C1
ADCDUDFEGFKKQH-UHFFFAOYSA-N,,,2.219060332448861,165.6,,,O=C(NC1=CC=C(F)C=C1)N1CCC2=CC=CC=C2C1C1=CC=C(C(F)(F)F)C=C1
ADCWQMHYOJDFMF-UHFFFAOYSA-N,0.46612587041819925,2.925,,,1.8504103412631467,70.86150000000002,COC1=CC=C2N=C(C)C=C(OCC(=O)NC3=CC=CC(C)=C3)C2=C1
ADEBPBSSDYVVLD-UHFFFAOYSA-N,,,1.3972445810103864,24.960000000000004,2.134311010340543,136.24199999999996,COC1=CC2=C(C=C1OC)C(=O)C(CC1CCN(CC3=CC=CC=C3)CC1)C2
ADECQYTURGAKRL-UHFFFAOYSA-N,1.3670389381558683,23.282999999999998,,,,,COC1=CC=C(C2=CN=C(N)C(C3=CC=C(OC)N=C3)=C2)C=N1
ADEMYEDPMWTMAN-UHFFFAOYSA-N,0.9132839017604184,8.19,,,,,NC1=CC=NC(N2CCC(N(C(=O)C3CC3)C3=CC=CC=N3)CC2)=C1
ADFCNDWZLVACPM-UHFFFAOYSA-N,1.92551835817743,84.24,1.4313637641589874,27.0,,,CCCCCS(=O)(=O)NC(=O)C(CC1=CC=C(OCCOC)C=C1OC1=NC=C(C(F)(F)F)C=C1Cl)OC
ADGLKPIWGPUPAW-UHFFFAOYSA-N,,,,,2.1398790864012365,138.0,ON=C(O)C(C1=CC=C(C2=CC=NC=N2)C=C1)C1=CC=CC=C1F
ADGYFBWBQIOUQC-RUZDIDTESA-N,1.9395192526186185,87.0,,,,,O=C(C=C1CCN(C(=O)C2=CC=C(Cl)C=C2O)CC1)N[C@@H]1CCN(CC2=CC=C3C=C(F)C=CC3=C2)C1
ADGZWOZBIZSNNI-UHFFFAOYSA-N,1.2143138974243997,16.38,1.7024305364455252,50.4,,,CC(C)COC1=NC=C(C2=CC=C(C(=O)NS(C)(=O)=O)C(F)=C2)C=C1Cl
ADHIYNKWKQQREL-UHFFFAOYSA-N,1.8029856913350086,63.531,,,,,CC1=CC=C2C(NC3=NNC(C)=C3)=NC(NCC3=CC=C(F)C=C3F)=NC2=C1
ADKPGMWOZURHAL-UHFFFAOYSA-N,,,,,1.7388598020722001,54.81,NC(=O)C1=C(OCC2=CC=CC=C2)C=C(N2CCOCC2)S1
ADLFDMYTCQSNOH-UHFFFAOYSA-N,1.9181577740750118,82.82430000000001,,,,,O=C(NCC1=CC=CC=C1)C1=NOC(C2=CC=CO2)=C1
ADNWKOLBPRHQQM-UHFFFAOYSA-N,1.337698805964078,21.762000000000004,1.7294887691795613,53.64,,,CN1N=C(CN2CCN(C3=CC=CC=C3)CC2)N=C1C1=CC=C(C(C)(C)C)C=C1
ADNXWAWAFKKIKS-UHFFFAOYSA-N,0.7671558660821804,5.85,,,,,CC(=O)N1CCC(N2C=C(NC3=NC(OC4CCOCC4)=C4N=C(CC#N)C=CC4=N3)C=N2)CC1
ADOTWAYEZMWJBX-QHAWAJNXSA-N,2.2112006620002567,162.63,2.65667304588485,453.6,,,O=C(CC1=CC=C(Cl)C=C1)N[C@H](CC1=CC=C(Cl)C=C1)C(=O)N[C@H]1CC[C@@H](O)CC1
ADPDZRDCXAOBEU-UHFFFAOYSA-N,,,,,1.796851749049887,62.64,O=C(NC1=CC=C(F)C(C2=NC3=NC=C(CN4CCOCC4)N3C=C2)=C1)N1CCCC1
ADQJTHBSZROYBX-UHFFFAOYSA-N,2.1162390348617706,130.689,,,,,CCC(=O)N(CC1(N2CCN(C(C)C3=CC=CC=C3)CC2)CCOCC1)C1=CC=CC(C(F)(F)F)=N1
ADRAARMTYRYTGI-UHFFFAOYSA-N,2.3010299956639813,200.0,,,,,CCCCOC(=O)C1(C2=NN3C(C4=CC=C5C(=O)OCC5=C4)=CC=C(OC)C3=N2)CC1
ADYNECCIEYQKPA-UHFFFAOYSA-N,0.9132839017604184,8.19,1.255272505103306,18.0,,,NC1=CC=C(CN2C(=O)NC3=C(N)N=C(C(F)(F)F)C=C32)C=N1
ADZDYXMEINDEGV-UHFFFAOYSA-N,-1.1820778226847772,0.06575399999999999,-0.6691805335041632,0.2142,,,FC(F)(F)C1=CC(NC2=CC=NC=C2)=NC(NCC2=CC=NC=C2)=N1
ADZMXFUPLXJFOI-SHTZXODSSA-N,,,,,0.9149510611278815,8.2215,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](NC2=NC3=NNC(C4=CC=CC=N4)=C3C=N2)CC1
AEFDEBZDCRUDJJ-UHFFFAOYSA-N,2.6883219167199193,487.89,,,4.052124254153193,11275.2,CS(=O)(=O)C1=CC=CC=C1S(=O)(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1
AEFLXCQZNZJMOD-UHFFFAOYSA-N,1.960280464436642,91.26,,,,,O=S1(=O)CCC(NCCOC2=CC(F)=CC=C2Cl)C2=CC=CC=C21
AEGOZGGOBNDOJM-UHFFFAOYSA-N,0.9712758487381052,9.36,,,1.706675118700799,50.895,CC(=O)NC1=NC=C(CN2CCC3(CCN(C4=CC(C)=NC5=NC=NN45)C3)C2)S1
AEHRPTKVJXBKLK-JSGCOSHPSA-N,1.4329692908744058,27.1,,,,,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(C2=NC3=CC(Cl)=C(Cl)C=C3O2)CC1
AEIVNSJTXSKRFO-UHFFFAOYSA-N,1.4184338800803244,26.207999999999995,,,,,COC1=CC=CC(NS(=O)(=O)C2=CC3=C(C=C2Cl)NC(=O)CO3)=C1
AEJMOSGROBUGEO-SNVBAGLBSA-N,,,2.3025978605238353,200.72333333333333,,,C[C@@H](NC1=NC(=O)C2=C(N1)N(C1CCCC1)N=C2)C(=O)N1CCSC1
AEJWFHDNVYSNLA-UHFFFAOYSA-N,0.7267272090265723,5.33,,,,,NCCCN1C2=C(C(=O)C3=CC=CC=C32)C2=CC=C(N)C=C2C1=O
AEKJLTZHFXMSBO-UHFFFAOYSA-N,,,2.012837224705172,103.0,,,CNC1=NC(NC2(C#N)CCCCC2)=NC(N2C=CC=N2)=N1
AEKOYIYPZKHXPB-AWEZNQCLSA-N,2.400624321661767,251.55,2.884682104206025,766.8,,,FC1=CC=C(C2=NOC(C[C@@H]3CCN(C4=CN=C5C=CC=CC5=C4)C3)=N2)C(Cl)=C1
AEKOYIYPZKHXPB-CQSZACIVSA-N,2.400624321661767,251.55,3.0179510688307425,1042.2,,,FC1=CC=C(C2=NOC(C[C@H]3CCN(C4=CN=C5C=CC=CC5=C4)C3)=N2)C(Cl)=C1
AEKZALMFASFTNO-WJOKGBTCSA-N,0.8810992183890173,7.605,,,,,CCN(C(=O)CC1=CC=C(S(C)(=O)=O)C=C1)C1CCN(CC[C@H](C2=CC=C(S(C)(=O)=O)C=C2)C2=CC(F)=CC(Cl)=C2)CC1
AELVRPDBJHETKG-UHFFFAOYSA-N,,,2.141763230275788,138.6,2.3780616014047293,238.815,CNC(=O)C1=CC=C(C2=NN3C(CC4=CC=C(O)C=C4)=NN=C3C=C2)C=C1Cl
AEMVOEKFEZFZOC-UHFFFAOYSA-N,1.744762237065578,55.56,,,3.277996211347547,1896.689375,CC(C)C1=NOC(C(=O)N2CCCC(C3=CC4=NC=CC=C4N3)C2)=C1
AENNLOUNPCFAFV-UHFFFAOYSA-N,,,3.10222783012313,1265.4,,,CC1=CC=C(OC2=CC=C(C(=O)NCCN3CCCC3)C=C2NC(=O)NC2=CC=CC=C2)C=C1C
AEOSDPHCSPJLGL-SANMLTNESA-N,0.6989700043360189,5.0,,,,,O=C(NC1=CC=C(OC2=CC=C(F)C=C2)C=C1)N1CCC2=NC=CC=C2[C@@H]1C1=CC=C(F)C=C1
AEQYZGAQFDSQIR-UHFFFAOYSA-N,1.6122539060964374,40.95,,,,,CN(CCCOCCOCCC1=CC=CC=C1)CCC1=CC=C(O)C2=C1SC(=O)N2
AERCRGJRLDFMTN-UHFFFAOYSA-N,1.3469394626989906,22.23,,,,,O=C(NC1=CC=C(OC(F)(F)F)C=C1)N1CCC2(CCN(C(=O)C3CC3(F)F)CC2)C1
AEUDFMRQSRTMSH-UHFFFAOYSA-N,,,1.2329961103921538,17.1,,,CC(C)C1=NC(C2=CC=CC(NS(=O)(=O)C3=C(F)C=CC=C3F)=C2F)=C(C2=CC=NC(NC3=CC=C(N4CCOCC4)N=C3)=N2)S1
AEWQIKDEAWAPPV-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,O=C(O)COC1=CC=CC(C(=O)N2CCC(N3CCC(OC4=CC=C(Cl)C(Cl)=C4)CC3)CC2)=C1
AEWWFVHHRBDZGN-UGSOOPFHSA-N,1.1952906601109694,15.678,,,,,C[C@H]1CC[C@@H](C2=NC3=CC=CC(Cl)=C3C(=O)N2C2=CC=CN=C2)N1C1=NC=NC(N)=C1C#N
AEYPTUROGFRRAO-OSHKRJKKSA-N,0.8390378733883058,6.903,,,,,CC[C@]1(F)CN(C2=NC=CC(NC3=CC4=C(C(C)C)C=CC(N5C[C@H](CS(C)(=O)=O)[C@H]5C)=C4C=N3)=N2)CC[C@H]1O
AEYRDESTWAYZTA-UHFFFAOYSA-N,1.7494270991217489,56.16,,,,,CCOC(=O)N1CCC(=C2C3=CC=C(Cl)C=C3CCC3=CC=C[N+]([O-])=C23)CC1
AFADWEMXXIYGCL-UHFFFAOYSA-N,0.5453071164658241,3.51,,,,,CN1C(C2=CC=CC=C2C(F)(F)F)=NN=C1C12CCC(C3=NOC(C4=CC=C(F)C=C4)=N3)(CC1)CC2
AFCZNGCBBGMPEY-VNQOPHBASA-N,,,,,2.659690964261084,456.76304999999996,O=C1S/C(=C\C2=CC=CC=C2)C(=O)N1CC1=CN(CCNC2=CC(/C=C/C3=CC=NC=C3)=NC3=CC=C(Cl)C=C23)N=N1
