OPENADMET_INCHIKEY,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM,OPENADMET_CANONICAL_SMILES
MDUHZJCHFSUEGU-UHFFFAOYSA-N,2.9132839017604186,819.0,3.100370545117563,1260.0,,,CCCCCN1C=C(C(=O)NCC2=CC=C(Cl)C(Cl)=C2)C(=O)C2=CC=C(SC3=CC=CC=C3)C=C21
MDUUCQWIJPWQQY-UHFFFAOYSA-N,4.323892444328786,21081.06,1.8887409606828927,77.4,4.671913012441587,46980.0,CN(CC(N)=O)CC1=NC(C2=CN(CC3CCOCC3)C3=C(Cl)C=CC=C23)=NO1
MDVFDZFEODJEAU-OKILXGFUSA-N,1.780835563373373,60.372,,,,,CC1=CC=C(C2=CN([C@H]3CC[C@@H](N)CC3)C3=NC=NC(N)=C23)C=C1F
MDWOOGIGVUQNJT-UHFFFAOYSA-N,,,,,1.4958217533859057,31.32,COC1=CC=CC=C1C1=CC=CC2=C(O)C(C(=O)NCC3CC3)=NC=C12
MEAHFPKKNYFSEO-FVMQRRFMSA-N,2.749427099121749,561.6,2.936513742478893,864.0,,,CCCC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CCCC)N(C)C(=O)[C@H](CC2=CC=CC=C2)NC(=O)CSC[C@@H](C(=O)NC)NC(=O)[C@H](CCCC)N(C)C1=O
MEANENDBNRVQSP-UHFFFAOYSA-N,1.1473671077937864,14.04,1.534026106056135,34.2,,,CCNCC1=CN(CC(=O)NC2=C(C(N)=O)C3=C(CCCC3)S2)N=C1C(F)(F)F
MECCMAZCQYVXEK-HXUWFJFHSA-N,1.3234583668494677,21.06,1.9273703630390235,84.6,,,CN(C)CCCNC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)CC1=CC=C(Cl)C=C1
MECIHDYZROETNA-UHFFFAOYSA-N,1.2041199826559248,16.0,,,,,COC1=CC=C(C2=CC=CC(C#N)=C2)N2N=C(C3(CCC(=O)O)CC3)N=C12
MEDATINUJABWMR-UHFFFAOYSA-N,1.3186058640550555,20.826,,,1.5750029994335306,37.584,CC1=CC=C2C(=C1)OC1=CC(Cl)=CC=C1C2NC(=O)C1=CC=C(C(F)(F)F)NC1=O
MEDBIJOVZJEMBI-YOEHRIQHSA-N,0.9344984512435677,8.6,,,,,C[C@@H](CC1=CSC=C1)NC(=O)NC[C@H](CC1=CC=C(O)C=C1)N(C)C
